symbol,FullName,Exchange,ISIN,Currency,Country
0ED.F,PROSPECT RIDGE RESOURCES,Frankfurt (FWB),CA74358Q1054,EUR,Germany
0EF.F,"E.L.F. BEAUTY INC  DL-,01",Frankfurt (FWB),US26856L1035,EUR,Germany
0EH.F,ARCHION CORPORATION,Frankfurt (FWB),JP3100020001,EUR,Germany
0EL.F,"YIDU TECH INC. DL -,00002",Frankfurt (FWB),KYG9845C1069,EUR,Germany
0EN.F,"CORAL PRODUCTS   LS-,01",Frankfurt (FWB),GB0002235736,EUR,Germany
0EU.F,RELIANCE WORLDWIDE CORP.,Frankfurt (FWB),AU000000RWC7,EUR,Germany
0F4.F,HAMAMATSU PHOTONICS KK,Frankfurt (FWB),JP3771800004,EUR,Germany
0F7.F,AMERN EAGLE GOLD CORP.,Frankfurt (FWB),CA02553R1073,EUR,Germany
0F9.F,"MOMENTUS INC. A DL-,00001",Frankfurt (FWB),US60879E4089,EUR,Germany
0FA.F,"FARMLAND PARTNERS  DL-,01",Frankfurt (FWB),US31154R1095,EUR,Germany
0FD.F,"WICKES GROUP PLC   LS-,10",Frankfurt (FWB),GB00BL6C2002,EUR,Germany
0FE.F,YUBICO AB,Frankfurt (FWB),SE0015657788,EUR,Germany
0FF.F,2020 BULKERS LTD  DL 1,Frankfurt (FWB),BMG9156K1018,EUR,Germany
0FG.F,"ADV. FLOWER CAP   DL -,01",Frankfurt (FWB),US00109K1051,EUR,Germany
0FJ.F,"FOXCONN IN.T.DL-,01953125",Frankfurt (FWB),KYG3R83K1037,EUR,Germany
0FK.F,"ASIAMET RES LTD  DL -,01",Frankfurt (FWB),BM04521V1038,EUR,Germany
0FO.F,"FOCUSRITE PLC    LS -,001",Frankfurt (FWB),GB00BSBMW716,EUR,Germany
0FR.F,AURORA LABS LTD.,Frankfurt (FWB),AU000000A3D7,EUR,Germany
0FS0.F,WARATAH MINERALS LTD.,Frankfurt (FWB),AU0000317471,EUR,Germany
0FU0.F,MOROCCO STRATEGIC MINER.,Frankfurt (FWB),CA6179311007,EUR,Germany
0FV.F,LUXEXPERIENCE BV SP.ADS/1,Frankfurt (FWB),US55406W1036,EUR,Germany
0FY.F,"EQUILLIUM INC.   DL-,0001",Frankfurt (FWB),US29446K1060,EUR,Germany
0FZ.F,ALLIGATOR ENERGY LTD.,Frankfurt (FWB),AU000000AGE2,EUR,Germany
0G1.F,HARVEST GOLD CORP.,Frankfurt (FWB),CA4175323068,EUR,Germany
0G31.F,VIZSLA SILVER CORP.,Frankfurt (FWB),CA92859G6085,EUR,Germany
0G4.F,BIOCERES CROP SOL.,Frankfurt (FWB),KYG1117K1141,EUR,Germany
0G8.F,SOCIONEXT INC.,Frankfurt (FWB),JP3433500000,EUR,Germany
0G93.F,"GLOBUS MARITIME  DL -,004",Frankfurt (FWB),MHY272651263,EUR,Germany
0GA.F,"PREDILIFE         EO-,025",Frankfurt (FWB),FR0010169920,EUR,Germany
0GB.F,"GB GROUP PLC       LS-,25",Frankfurt (FWB),GB0006870611,EUR,Germany
0GC0.F,RIDGELINE MINERALS CORP.,Frankfurt (FWB),CA7660871004,EUR,Germany
0GE.F,RVRC HOLDING AB,Frankfurt (FWB),SE0015962485,EUR,Germany
0GF.F,GRAPHENE MANUFACT.GROUP,Frankfurt (FWB),AU0000139990,EUR,Germany
0GI0.F,HELIA GROUP LTD.,Frankfurt (FWB),AU0000251498,EUR,Germany
0GJ.F,CAPSTONE COPPER CORP.,Frankfurt (FWB),AU0000318552,EUR,Germany
0GO.F,"THALIA THERAPEUT. LS-,004",Frankfurt (FWB),GB00BYW8QM32,EUR,Germany
0GP.F,LEVIATHAN METALS CORP.,Frankfurt (FWB),CA5273691025,EUR,Germany
0GS.F,"GUIDEWIRE SOFTWA.DL-,0001",Frankfurt (FWB),US40171V1008,EUR,Germany
0GT.F,"STOKE THERAPEUT.DL-,001",Frankfurt (FWB),US86150R1077,EUR,Germany
0GV.F,"NEOSTELLAR CAPITAL DL-,01",Frankfurt (FWB),US86887Q1094,EUR,Germany
0H2.F,MAXELL LTD.,Frankfurt (FWB),JP3791800000,EUR,Germany
0H5.F,HCI GROUP INC. DL O.N.,Frankfurt (FWB),US40416E1038,EUR,Germany
0H8A.F,CLARA RESOURCES AUSTRALIA,Frankfurt (FWB),AU0000249831,EUR,Germany
0H9.F,SEIBU HOLDINGS INC.,Frankfurt (FWB),JP3417200007,EUR,Germany
0HB.F,NUVEEN NY QUA.MUN.I.DL-01,Frankfurt (FWB),US67066X1072,EUR,Germany
0HC.F,LIGHT AI,Frankfurt (FWB),CA53229R1047,EUR,Germany
0HE1.F,AYA GOLD + SILVER INC.,Frankfurt (FWB),CA05466C1095,EUR,Germany
0HF.F,"PULLUP ENTERTAIN. EO 1,20",Frankfurt (FWB),FR0012419307,EUR,Germany
0HG.F,HIAG IMMOBIL.HLDG NA.SF 1,Frankfurt (FWB),CH0239518779,EUR,Germany
0HL.F,INVENTRUST PPT NEW DL-001,Frankfurt (FWB),US46124J2015,EUR,Germany
0HV.F,"ENVISTA HOLDINGS   DL-,01",Frankfurt (FWB),US29415F1049,EUR,Germany
0HY.F,MOKINGRAN J.G.CO. H YC1,Frankfurt (FWB),CNE100006NX7,EUR,Germany
0I10.F,"FORTIS FRONTIER  LS -,015",Frankfurt (FWB),GB00BN7K5L93,EUR,Germany
0I5.F,BETTERMOOD FOOD CORP.,Frankfurt (FWB),CA08772W3066,EUR,Germany
0I6.F,BANCA IFIS S.P.A.    EO 1,Frankfurt (FWB),IT0003188064,EUR,Germany
0IF0.F,AMERI.BITCOIN CORP. A NEW,Frankfurt (FWB),US02462A2033,EUR,Germany
0IK.F,"RASPBERRY PI  . LS -,0025",Frankfurt (FWB),GB00BS3DYQ52,EUR,Germany
0IT.F,SATELLOS BIOSCIENCE INC.,Frankfurt (FWB),CA80401L8033,EUR,Germany
0IU.F,US CRITICAL METALS CORP.,Frankfurt (FWB),CA90366H4089,EUR,Germany
0JA.F,JAPAN AIRPORT TER.,Frankfurt (FWB),JP3699400002,EUR,Germany
