symbol,FullName,Exchange,ISIN,Currency,Country
86OZ.L,CHELIABINSK ELEKTROLIT ZINK PLANT,LSE,US1635231038,GBP,United Kingdom
86PB.L,HANATOUR SERVICE INC,LSE,US4096501089,GBP,United Kingdom
86PN.L,HALS-DEVELOPMENT PJSC,LSE,US40637J1051,GBP,United Kingdom
87FZ.L,AECI,LSE,ZAE000000238,GBP,United Kingdom
87GO.L,CO-OPERATIVE GROUP LTD,LSE,GB0002224060,GBP,United Kingdom
87IN.L,TRUSTCO FINANCE,LSE,GB0008945718,GBP,United Kingdom
87IP.L,WITAN INVESTMENT TRUST,LSE,GB0009744284,GBP,United Kingdom
87QR.L,GUARANTY TRUST BANK,LSE,US40124Q1094,GBP,United Kingdom
888.L,888 HLDGS,LSE,GI000A0F6407,GBP,United Kingdom
88E.L,88 ENERGY LTD,LSE AIM,AU00000088E2,GBP,United Kingdom
88EI.L,JARDINE STRATEGIC HLDGS,LSE,BMG507641022,GBP,United Kingdom
88KZ.L,ARAB POTASH CO,LSE,US0384601011,GBP,United Kingdom
89VS.L,X5 RETAIL GROUP N.V,LSE,US98387E1064,GBP,United Kingdom
90ID.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007548026,GBP,United Kingdom
90IL.L,T.H.F.C.(INDEXED 2),LSE,GB0008701624,GBP,United Kingdom
91ID.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007548133,GBP,United Kingdom
91OT.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0002213394,GBP,United Kingdom
92ID.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007548240,GBP,United Kingdom
92IP.L,MARSTON'S PLC,LSE,GB0009772459,GBP,United Kingdom
92OT.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0002213840,GBP,United Kingdom
93ID.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007548356,GBP,United Kingdom
93OT.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,XS0108763896,GBP,United Kingdom
94OT.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,XS0108764274,GBP,United Kingdom
9537.L,CLEARSTAR INC,LSE AIM,KYG2294M1050,GBP,United Kingdom
95IL.L,HENDERSON SMALLER COS INV TST,LSE,GB0008707977,GBP,United Kingdom
96IO.L,VALUE & INCOME TRUST,LSE,GB0009258137,GBP,United Kingdom
96JP.L,T.H.F.C.(SOCIAL HOUSING FINANCE),LSE,GB0008765918,GBP,United Kingdom
96JS.L,T.H.F.C.(INDEXED),LSE,GB0008714882,GBP,United Kingdom
96LE.L,BANQUE INTL ARABE DE TUNISIE,LSE,US06675A1088,GBP,United Kingdom
97GM.L,CRH,LSE,IE0001827603,GBP,United Kingdom
97IN.L,CITY OF LONDON INVESTMENT TRUST,LSE,GB0008961913,GBP,United Kingdom
97KI.L,GLH HOTELS LTD,LSE,GB0000440312,GBP,United Kingdom
98GF.L,BANKERS INVESTMENT TRUST,LSE,GB0000769595,GBP,United Kingdom
98HT.L,NEW BRUNSWICK RAILWAY CO,LSE,GB0006301062,GBP,United Kingdom
98KI.L,YAPI VE KREDI BANKASI AS,LSE,US9848481019,GBP,United Kingdom
98LM.L,TURKIYE IS BANKASI,LSE,US9001514085,GBP,United Kingdom
98LQ.L,HELLENIC PETROLEUM SA,LSE,US4233231046,GBP,United Kingdom
99GT.L,FUNDING FOR HOMES,LSE,GB0003309126,GBP,United Kingdom
99ID.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007592834,GBP,United Kingdom
AA.L,AA PLC,LSE,GB00BMSKPJ95,GBP,United Kingdom
AA4.L,AMEDEO AIR FOUR PLUS LTD,LSE,GG00BWC53H48,GBP,United Kingdom
AAA.L,ALL ASIA ASSET CAP LTD,LSE AIM,VGG017801082,GBP,United Kingdom
AAAP.L,ANGLO AFRICAN AGRICULTURE PLC,LSE,GB00B7V2GY97,GBP,United Kingdom
AADV.L,ALBION DEVELOPMENT VCT PLC,LSE,GB0004832472,GBP,United Kingdom
AAEV.L,ALBION ENTERPRISE VCT PLC,LSE,GB00B1G3LR35,GBP,United Kingdom
AAIF.L,ABERDEEN ASIAN INCOME FUND,LSE,GB00B0P6J834,GBP,United Kingdom
AAL.L,ANGLO AMERICAN,LSE,GB00B1XZS820,GBP,United Kingdom
AAM.L,ARTEMIS VCT PLC,LSE,GB00B02WQ947,GBP,United Kingdom
AAS.L,ABERDEEN ASIAN SMALLER CO INV TST,LSE,GB0000100767,GBP,United Kingdom
AASC.L,ABERDEEN ASIAN SMALLER CO INV TST,LSE,GB00B7ZMLM88,GBP,United Kingdom
AATG.L,ALBION TECHNOLOGY & GENERAL VCT PLC,LSE,GB0005581672,GBP,United Kingdom
AAU.L,ARIANA RESOURCES,LSE AIM,GB00B085SD50,GBP,United Kingdom
AAVC.L,ALBION VENTURE CAPITAL TST PLC,LSE,GB0002039625,GBP,United Kingdom
AAZ.L,ANGLO ASIAN MINING PLC,LSE AIM,GB00B0C18177,GBP,United Kingdom
ABBY.L,ABBEY PLC,LSE AIM,IE0000020408,GBP,United Kingdom
ABC.L,ABCAM,LSE AIM,GB00B6774699,GBP,United Kingdom
ABD.L,ABERDEEN NEW DAWN INVESTMENT TST,LSE,GB00BBM56V29,GBP,United Kingdom
ABDP.L,AB DYNAMICS PLC,LSE AIM,GB00B9GQVG73,GBP,United Kingdom
ABF.L,ASSOCIATED BRITISH FOODS,LSE,GB0006731235,GBP,United Kingdom
ABT.L,ABBOTT LABORATORIES,LSE,US0028241000,GBP,United Kingdom
ABTU.L,AQUA BOUNTY TECHNOLOGIES INC,LSE AIM,US03842K1016,GBP,United Kingdom
ABZA.L,ABZENA LTD,LSE AIM,GB00BN65QN46,GBP,United Kingdom
ACA.L,ACACIA MINING PLC,LSE,GB00B61D2N63,GBP,United Kingdom
ACBD.L,ALPHA BANK AE,LSE,US02071M7056,GBP,United Kingdom
ACBE.L,ALPHA BANK AE,LSE,US02071M4087,GBP,United Kingdom
ACC.L,ACCESS INTELLIGENCE,LSE AIM,GB0033835264,GBP,United Kingdom
ACD.L,ACENCIA DEBT STRATEGIES LTD,LSE,GB00B0MSB420,GBP,United Kingdom
ACHL.L,ASIAN CITRUS HLDGS,LSE AIM,BMG0620W2019,GBP,United Kingdom
ACL.L,ACAL,LSE,GB0000055888,GBP,United Kingdom
ACO.L,ACORN MINERALS PLC,LSE,GB00B6QZLQ32,GBP,United Kingdom
ACP.L,ARMADALE CAPITAL PLC,LSE AIM,GB00BYMSY631,GBP,United Kingdom
ACRL.L,ACCROL GROUP HLDGS PLC,LSE AIM,GB00BZ6VT592,GBP,United Kingdom
ACSO.L,ACCESSO TECHNOLOGY GRP PLC,LSE AIM,GB0001771426,GBP,United Kingdom
ACT.L,ACTUAL EXPERIENCE PLC,LSE AIM,GB00BJ05QC14,GBP,United Kingdom
ADA.L,ADAMS PLC,LSE AIM,IM00B986V543,GBP,United Kingdom
ADAM.L,ADAMAS FINANCE ASIA LTD,LSE AIM,VGG008271162,GBP,United Kingdom
ADGO.L,ADGORITHMS LTD,LSE AIM,IL0011354904,GBP,United Kingdom
ADL.L,ANDALAS ENERGY & POWER PLC,LSE AIM,IM00B1FPZP63,GBP,United Kingdom
ADM.L,ADMIRAL GROUP PLC,LSE,GB00B02J6398,GBP,United Kingdom
ADN.L,ABERDEEN ASSET MANAGEMENT PLC,LSE,GB0000031285,GBP,United Kingdom
ADSS.L,ATLAS AFRICAN INDUSTRIES LTD,LSE AIM,GG00B9B3DY50,GBP,United Kingdom
ADT.L,ADEPT TELECOM,LSE AIM,GB00B0WY3Y47,GBP,United Kingdom
AEC.L,AEC EDUCATION,LSE AIM,GB00B04XB679,GBP,United Kingdom
AEFS.L,ALCENTRA EUROPEAN FLTG RTE INC FD,LSE,GG00B6116N85,GBP,United Kingdom
AEG.L,ACTIVE ENERGY GROUP PLC,LSE AIM,GB00B1YMN108,GBP,United Kingdom
AEMC.L,ABERDEEN EMERGING MKTS INV CO LTD,LSE,GG00B45L2K95,GBP,United Kingdom
AEN.L,ANDES ENERGIA PLC,LSE AIM,GB00B7LHJ340,GBP,United Kingdom
AEO.L,AEOREMA COMMUNICATIONS PLC,LSE AIM,GB00B4QHH456,GBP,United Kingdom
AEP.L,ANGLO-EASTERN PLANTATIONS,LSE,GB0000365774,GBP,United Kingdom
AERO.L,STRAT AERO PLC,LSE AIM,GB00BQQPLG38,GBP,United Kingdom
AEWU.L,AEW UK REIT PLC,LSE,GB00BWD24154,GBP,United Kingdom
AEX.L,AMINEX,LSE,IE0003073255,GBP,United Kingdom
AEY.L,ANTRIM ENERGY INC,LSE AIM,CA0372431027,GBP,United Kingdom
AEZD.L,EZZ STEEL,LSE,US26934Q2075,GBP,United Kingdom
AFC.L,AFC ENERGY PLC,LSE AIM,GB00B18S7B29,GBP,United Kingdom
AFG.L,AQUATIC FOODS GROUP PLC,LSE AIM,JE00BQQG1J93,GBP,United Kingdom
AFHP.L,AFH FINANCIAL GROUP PLC,LSE AIM,GB00B4W5WQ08,GBP,United Kingdom
AFID.L,AFI DEVELOPMENT PLC,LSE,US00106J2006,GBP,United Kingdom
AFMC.L,ABERDEEN FRONTIER MKTS INV CO LTD,LSE AIM,GG00B1W59J17,GBP,United Kingdom
AFN.L,ADVFN,LSE AIM,GB00BPT24C10,GBP,United Kingdom
AFPO.L,AFRICAN POTASH LIMITED,LSE AIM,GG00B4QYTJ50,GBP,United Kingdom
AFRB.L,AFI DEVELOPMENT PLC,LSE,CY0101380612,GBP,United Kingdom
AFRK.L,AFARAK GROUP PLC,LSE,FI0009800098,GBP,United Kingdom
AFS.L,AMIAD WATER SYSTEMS LTD,LSE AIM,IL0010943905,GBP,United Kingdom
AG40.L,PUBLIC POWER CORP S.A.,LSE,XS0139849052,GBP,United Kingdom
AGIT.L,ABERFORTH GEARED INCOME TRUST PLC,LSE,GB00B4TR3444,GBP,United Kingdom
AGIZ.L,ABERFORTH GEARED INCOME TRUST PLC,LSE,GB00B4WLXD25,GBP,United Kingdom
AGK.L,AGGREKO,LSE,GB00BK1PTB77,GBP,United Kingdom
AGL.L,ANGLE PLC,LSE AIM,GB0034330679,GBP,United Kingdom
AGM.L,APPLIED GRAPHENE MATERIALS PLC,LSE AIM,GB00BFSSB742,GBP,United Kingdom
AGOL.L,ASHMORE GLOBAL OPPORTUNITIES LTD,LSE,GG00BYV0R619,GBP,United Kingdom
AGOU.L,ASHMORE GLOBAL OPPORTUNITIES LTD,LSE,GG00BYV0RC73,GBP,United Kingdom
AGP.L,ASIAN GROWTH PROPERTIES,LSE AIM,VGG054341083,GBP,United Kingdom
AGQ.L,ARIAN SILVER CORP,LSE AIM,VGG0472G1147,GBP,United Kingdom
AGR.L,ASSURA PLC,LSE,GB00BVGBWW93,GBP,United Kingdom
AGRO.L,ROS AGRO PLC,LSE,US7496552057,GBP,United Kingdom
AGTA.L,AGRITERRA LTD,LSE AIM,GB00B05MGT12,GBP,United Kingdom
AGY.L,ALLERGY THERAPEUTICS,LSE AIM,GB00B02LCQ05,GBP,United Kingdom
AHCG.L,ACTION HOTELS PLC,LSE AIM,JE00BFZD1492,GBP,United Kingdom
AHT.L,ASHTEAD GROUP,LSE,GB0000536739,GBP,United Kingdom
AIA.L,ALTIN AG,LSE,CH0014424524,GBP,United Kingdom
AIEA.L,AIREA PLC,LSE AIM,GB0008123027,GBP,United Kingdom
AIF.L,ACORN INCOME FUND,LSE,GB0004829437,GBP,United Kingdom
AIR.L,AIR PARTNER PLC,LSE,GB0000115302,GBP,United Kingdom
AIRC.L,AIR CHINA,LSE,CNE1000001S0,GBP,United Kingdom
AJG.L,ATLANTIS JAPAN GROWTH FUND,LSE,GG00B61ND550,GBP,United Kingdom
AJIT.L,ABERDEEN JAPAN INVESTMENT TRUST PLC,LSE,GB0003920757,GBP,United Kingdom
AKR.L,AKERS BIOSCIENCES INC,LSE AIM,US00973E1029,GBP,United Kingdom
AKRN.L,PJSC ACRON,LSE,US00501T2096,GBP,United Kingdom
ALAI.L,ABERDEEN LATIN AMERICAN INCOME FD,LSE,JE00B44ZTP62,GBP,United Kingdom
